Rank,Ticker,AssetClass,TM sMAPE,GARCH sMAPE,Improvement,Winner
1,BNBUSD,CRYPTO,31.16,81.16,50.0,TimeMixer
2,AUDUSD,FOREX,17.54,42.06,24.52,TimeMixer
3,EURGBP,FOREX,21.01,42.98,21.97,TimeMixer
4,XRPUSD,CRYPTO,48.67,68.98,20.31,TimeMixer
5,EURJPY,FOREX,25.58,44.85,19.27,TimeMixer
6,USDCHF,FOREX,13.33,32.43,19.1,TimeMixer
7,SOLUSD,CRYPTO,22.72,41.23,18.5,TimeMixer
8,USDCAD,FOREX,11.74,26.3,14.56,TimeMixer
9,USDJPY,FOREX,24.78,38.27,13.5,TimeMixer
10,VWO,ETF,16.65,30.08,13.43,TimeMixer
11,BCHUSD,CRYPTO,31.38,41.36,9.98,TimeMixer
12,EURUSD,FOREX,17.4,27.04,9.65,TimeMixer
13,EEM,ETF,17.84,26.66,8.81,TimeMixer
14,AUDJPY,FOREX,20.95,29.68,8.73,TimeMixer
15,GBPUSD,FOREX,15.77,24.0,8.23,TimeMixer
16,GBPJPY,FOREX,21.54,29.62,8.08,TimeMixer
17,ADAUSD,CRYPTO,27.06,34.98,7.92,TimeMixer
18,V,STOCK,20.06,26.51,6.46,TimeMixer
19,EFA,ETF,21.81,26.04,4.23,TimeMixer
20,DOTUSD,CRYPTO,31.43,35.21,3.79,TimeMixer
21,JNJ,STOCK,12.33,14.88,2.55,TimeMixer
22,LTCUSD,CRYPTO,41.39,43.86,2.47,TimeMixer
23,GOVT,ETF,13.71,15.94,2.23,TimeMixer
24,TSLA,STOCK,20.17,20.27,0.09,TimeMixer
25,ETHUSD,CRYPTO,33.99,33.67,-0.32,GARCH
26,SCHD,ETF,15.45,14.14,-1.3,GARCH
27,DOGEUSD,CRYPTO,48.85,46.42,-2.43,GARCH
28,MSFT,STOCK,16.45,14.01,-2.45,GARCH
29,BTCUSD,CRYPTO,39.25,35.87,-3.38,GARCH
30,GLD,ETF,18.8,14.63,-4.17,GARCH
31,GOOGL,STOCK,26.42,20.35,-6.07,GARCH
32,AMZN,STOCK,27.0,20.47,-6.53,GARCH
33,META,STOCK,30.99,23.2,-7.8,GARCH
34,SPY,ETF,25.86,16.53,-9.33,GARCH
35,VTI,ETF,25.32,15.96,-9.37,GARCH
36,NVDA,STOCK,34.08,23.63,-10.44,GARCH
37,IWM,ETF,27.69,14.78,-12.91,GARCH
38,AAPL,STOCK,32.09,17.75,-14.34,GARCH
39,QQQ,ETF,31.51,15.62,-15.9,GARCH
40,BRK-B,STOCK,30.58,14.04,-16.53,GARCH
